Group.1;Acanthomorphata;Artedius lateralis;Barbatula;Brosme brosme;Carangaria;Centrarchiformes;Cottidae;Cottioidei;Ctenosquamata;Cyclopterinae;Enophrys diceraus;Esox masquinongy;Euacanthomorphacea;Eupercaria;Euteleosteomorpha;Gadidae;Gadiformes;Gadoidei;Gadus morhua;Gaidropsarus;Gobio gobio;Ipnops sp. auip01;Leuciscinae;Limanda;Lycodinae;Microgadus;Microhylinae;Molva molva;Nasikabatrachus;Neobatrachia;Perciformes;Percomorphaceae;Pleuronectidae;Salmonidae;Sebastinae;Sebastiscus marmoratus;Seriola;Taurulus bubalis
BBY016BR3_2_s_2;0;0;0;0;0;0;0;0;0;1008;0;0;0;0;0;73310;0;13926;224;0;0;0;0;0;0;0;0;17025;0;0;0;0;7958;0;0;0;0;0
BBY016BR3_s_1;638;0;0;0;0;0;0;0;0;6007;0;0;0;0;0;490764;0;83440;962;0;0;0;0;0;0;0;0;112839;0;0;0;0;33347;0;0;0;0;0
BBY017BR1_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127460;0;19068;0;0;0;0;0;0;0;0;0;15651;0;0;0;0;2690;0;0;0;0;0
BBY017BR1_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42993;0;5017;0;0;0;0;0;0;0;0;0;4493;0;0;0;0;806;0;0;0;0;0
BBY017BR2_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145525;0;22120;405;208;0;0;0;0;0;0;0;10153;0;0;1568;0;854;0;0;0;0;0
BBY017BR2_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61641;0;6203;234;0;0;0;0;0;0;0;0;2750;0;0;406;0;243;0;0;0;0;0
BBY018BR1_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97417;0;24394;0;0;0;0;0;0;0;0;0;3235;0;0;0;0;3357;0;0;0;0;0
BBY018BR1_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57346;0;14633;0;0;0;0;0;0;0;0;0;2257;0;0;0;0;2379;0;0;0;0;0
BBY018BR2_2_s_2;0;0;0;0;0;0;216;0;0;0;0;0;0;0;0;83001;0;18993;0;0;0;0;0;0;0;0;0;6836;0;0;0;0;0;0;0;0;0;0
BBY018BR2_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333780;0;64535;0;415;0;0;0;0;0;0;0;21243;0;0;0;0;0;0;0;0;0;0
BBY018BR3_2_s_2;3268;574;0;0;0;1543;93502;658;1565;0;1857;0;279;13303;0;92277;0;16776;8772;0;0;0;0;0;0;0;0;8564;0;0;14737;0;573;0;0;0;0;0
BBY018BR3_s_1;5170;1526;0;0;0;2931;264629;3117;3361;0;4289;0;594;27560;0;70210;0;12449;8375;0;0;0;0;0;0;0;0;6469;0;0;23372;0;706;0;0;0;0;0
BBY020_2_s_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;340863;0;0;0;0;0;0;0;0;0;0
BBY020_s_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110179;0;0;0;0;0;0;0;0;0;0
